0000000000000000088 core-0   :00010944 (011787b3) add         a5, a5, a7         
0000000000000000089 core-0   :00010948 (00b7a423) sw          a1, 8(a5)          
0000000000000000090 core-0   :0001094c (00000513) mv          a0, zero           
0000000000000000091 core-0   :00010950 (00008067) ret                            
0000000000000000092 core-0   :0001009c (6bc000ef) jal         ra, pc + 1724      
0000000000000000093 core-0   :00010758 (ff010113) addi        sp, sp, -16        
0000000000000000094 core-0   :0001075c (00812423) sw          s0, 8(sp)          
0000000000000000095 core-0   :00010760 (00912223) sw          s1, 4(sp)          
0000000000000000096 core-0   :00010764 (00012437) lui         s0, 73728          
0000000000000000097 core-0   :00010768 (000124b7) lui         s1, 73728          
0000000000000000098 core-0   :0001076c (10848793) addi        a5, s1, 264        
0000000000000000099 core-0   :00010770 (10840413) addi        s0, s0, 264        
0000000000000000100 core-0   :00010774 (40f40433) sub         s0, s0, a5         
0000000000000000101 core-0   :00010778 (01212023) sw          s2, 0(sp)          
0000000000000000102 core-0   :0001077c (00112623) sw          ra, 12(sp)         
0000000000000000103 core-0   :00010780 (40245413) srai        s0, s0, 2          
0000000000000000104 core-0   :00010784 (10848493) addi        s1, s1, 264        
0000000000000000105 core-0   :00010788 (00000913) mv          s2, zero           
0000000000000000106 core-0   :0001078c (04891263) bne         s2, s0, pc + 68    
0000000000000000107 core-0   :00010790 (000124b7) lui         s1, 73728          
0000000000000000108 core-0   :00010794 (921ff0ef) jal         ra, pc - 1760      
0000000000000000109 core-0   :000100b4 (00008067) ret                            
0000000000000000110 core-0   :00010798 (00012437) lui         s0, 73728          
0000000000000000111 core-0   :0001079c (10848793) addi        a5, s1, 264        
0000000000000000112 core-0   :000107a0 (10c40413) addi        s0, s0, 268        
0000000000000000113 core-0   :000107a4 (40f40433) sub         s0, s0, a5         
0000000000000000114 core-0   :000107a8 (40245413) srai        s0, s0, 2          
0000000000000000115 core-0   :000107ac (10848493) addi        s1, s1, 264        
0000000000000000116 core-0   :000107b0 (00000913) mv          s2, zero           
0000000000000000117 core-0   :000107b4 (02891863) bne         s2, s0, pc + 48    
0000000000000000118 core-0   :000107e4 (0004a783) lw          a5, 0(s1)          
0000000000000000119 core-0   :000107e8 (00190913) addi        s2, s2, 1          
0000000000000000120 core-0   :000107ec (00448493) addi        s1, s1, 4          
0000000000000000121 core-0   :000107f0 (000780e7) jalr        ra, a5, 0          
0000000000000000122 core-0   :00010178 (000007b7) lui         a5, 0              
0000000000000000123 core-0   :0001017c (00078793) mv          a5, a5             
0000000000000000124 core-0   :00010180 (02078663) beqz        a5, pc + 44        
0000000000000000125 core-0   :000101ac (f39ff06f) j           pc - 200           
0000000000000000126 core-0   :000100e4 (000127b7) lui         a5, 73728          
0000000000000000127 core-0   :000100e8 (00012537) lui         a0, 73728          
0000000000000000128 core-0   :000100ec (53878593) addi        a1, a5, 1336       
0000000000000000129 core-0   :000100f0 (53850793) addi        a5, a0, 1336       
0000000000000000130 core-0   :000100f4 (40f585b3) sub         a1, a1, a5         
0000000000000000131 core-0   :000100f8 (4025d593) srai        a1, a1, 2          
0000000000000000132 core-0   :000100fc (01f5d793) srli        a5, a1, 31         
0000000000000000133 core-0   :00010100 (00b785b3) add         a1, a5, a1         
0000000000000000134 core-0   :00010104 (4015d593) srai        a1, a1, 1          
0000000000000000135 core-0   :00010108 (00058c63) beqz        a1, pc + 24        
0000000000000000136 core-0   :00010120 (00008067) ret                            
0000000000000000137 core-0   :000107f4 (fc1ff06f) j           pc - 64            
0000000000000000138 core-0   :000107b4 (02891863) bne         s2, s0, pc + 48    
0000000000000000139 core-0   :000107b8 (00c12083) lw          ra, 12(sp)         
0000000000000000140 core-0   :000107bc (00812403) lw          s0, 8(sp)          
0000000000000000141 core-0   :000107c0 (00412483) lw          s1, 4(sp)          
0000000000000000142 core-0   :000107c4 (00012903) lw          s2, 0(sp)          
0000000000000000143 core-0   :000107c8 (01010113) addi        sp, sp, 16         
0000000000000000144 core-0   :000107cc (00008067) ret                            
0000000000000000145 core-0   :000100a0 (00012503) lw          a0, 0(sp)          
0000000000000000146 core-0   :000100a4 (00410593) addi        a1, sp, 4          
0000000000000000147 core-0   :000100a8 (00000613) mv          a2, zero           
0000000000000000148 core-0   :000100ac (104000ef) jal         ra, pc + 260       
0000000000000000149 core-0   :000101b0 (fe010113) addi        sp, sp, -32        
0000000000000000150 core-0   :000101b4 (00112e23) sw          ra, 28(sp)         
0000000000000000151 core-0   :000101b8 (00812c23) sw          s0, 24(sp)         
0000000000000000152 core-0   :000101bc (02010413) addi        s0, sp, 32         
0000000000000000153 core-0   :000101c0 (000117b7) lui         a5, 69632          
0000000000000000154 core-0   :000101c4 (ffc7a783) lw          a5, -4(a5)         
0000000000000000155 core-0   :000101c8 (fef42623) sw          a5, -20(s0)        
0000000000000000156 core-0   :000101cc (000117b7) lui         a5, 69632          
0000000000000000157 core-0   :000101d0 (0007a783) lw          a5, 0(a5)          
0000000000000000158 core-0   :000101d4 (fef42423) sw          a5, -24(s0)        
0000000000000000159 core-0   :000101d8 (fe842583) lw          a1, -24(s0)        
0000000000000000160 core-0   :000101dc (fec42503) lw          a0, -20(s0)        
0000000000000000161 core-0   :000101e0 (020000ef) jal         ra, pc + 32        
0000000000000000162 core-0   :00010200 (008007b7) lui         a5, 8388608        
0000000000000000163 core-0   :00010204 (ff010113) addi        sp, sp, -16        
0000000000000000164 core-0   :00010208 (fff78793) addi        a5, a5, -1         
0000000000000000165 core-0   :0001020c (00a7f733) and         a4, a5, a0         
0000000000000000166 core-0   :00010210 (00812423) sw          s0, 8(sp)          
0000000000000000167 core-0   :00010214 (01212023) sw          s2, 0(sp)          
0000000000000000168 core-0   :00010218 (01755413) srli        s0, a0, 23         
0000000000000000169 core-0   :0001021c (01f55913) srli        s2, a0, 31         
0000000000000000170 core-0   :00010220 (0175d513) srli        a0, a1, 23         
0000000000000000171 core-0   :00010224 (00b7f7b3) and         a5, a5, a1         
0000000000000000172 core-0   :00010228 (0ff47413) andi        s0, s0, 255        
0000000000000000173 core-0   :0001022c (0ff57513) andi        a0, a0, 255        
0000000000000000174 core-0   :00010230 (00112623) sw          ra, 12(sp)         
0000000000000000175 core-0   :00010234 (00912223) sw          s1, 4(sp)          
0000000000000000176 core-0   :00010238 (01f5d593) srli        a1, a1, 31         
0000000000000000177 core-0   :0001023c (00371613) slli        a2, a4, 3          
0000000000000000178 core-0   :00010240 (00379793) slli        a5, a5, 3          
0000000000000000179 core-0   :00010244 (40a40733) sub         a4, s0, a0         
0000000000000000180 core-0   :00010248 (18b91e63) bne         s2, a1, pc + 412   
0000000000000000181 core-0   :0001024c (0ae05863) blez        a4, pc + 176       
0000000000000000182 core-0   :000102fc (08070463) beqz        a4, pc + 136       
0000000000000000183 core-0   :00010384 (00140513) addi        a0, s0, 1          
0000000000000000184 core-0   :00010388 (0ff57693) andi        a3, a0, 255        
0000000000000000185 core-0   :0001038c (00100713) addi        a4, zero, 1        
0000000000000000186 core-0   :00010390 (04d74063) bgt         a3, a4, pc + 64    
0000000000000000187 core-0   :000103d0 (0ff00713) addi        a4, zero, 255      
0000000000000000188 core-0   :000103d4 (1ee50063) beq         a0, a4, pc + 480   
0000000000000000189 core-0   :000103d8 (00f60733) add         a4, a2, a5         
0000000000000000190 core-0   :000103dc (00175793) srli        a5, a4, 1          
0000000000000000191 core-0   :000103e0 (f45ff06f) j           pc - 188           
0000000000000000192 core-0   :00010324 (0077f713) andi        a4, a5, 7          
0000000000000000193 core-0   :00010328 (28070863) beqz        a4, pc + 656       
0000000000000000194 core-0   :0001032c (00f7f713) andi        a4, a5, 15         
0000000000000000195 core-0   :00010330 (00400693) addi        a3, zero, 4        
0000000000000000196 core-0   :00010334 (28d70263) beq         a4, a3, pc + 644   
0000000000000000197 core-0   :00010338 (00478793) addi        a5, a5, 4          
0000000000000000198 core-0   :0001033c (27c0006f) j           pc + 636           
0000000000000000199 core-0   :000105b8 (00579713) slli        a4, a5, 5          
0000000000000000200 core-0   :000105bc (00075e63) bgez        a4, pc + 28        
0000000000000000201 core-0   :000105d8 (0ff00713) addi        a4, zero, 255      
0000000000000000202 core-0   :000105dc (0037d793) srli        a5, a5, 3          
0000000000000000203 core-0   :000105e0 (00e51863) bne         a0, a4, pc + 16    
0000000000000000204 core-0   :000105f0 (00800737) lui         a4, 8388608        
0000000000000000205 core-0   :000105f4 (fff70713) addi        a4, a4, -1         
